,name,flavour,percent,review
0,Suntory Hibiki Harmony,Japanese Blended Whisky,70cl / 43%,4
1,Yamazaki 12 Year Old,Japanese Single Malt Whisky,70cl / 43%,4.5
2,Yamazaki Distiller's Reserve,Japanese Single Malt Whisky,70cl / 43%,4.5
3,Nikka Coffey Grain Whisky,Japanese Single Grain Whisky,70cl / 45%,4.5
4,The Chita Whisky,Japanese Single Grain Whisky,70cl / 43%,4.5
5,Hakushu Distiller's Reserve,Japanese Single Malt Whisky,70cl / 43%,4.5
6,Suntory Hibiki 17 Year Old,Japanese Blended Whisky,70cl / 43%,4.5
7,Suntory Toki,Japanese Blended Whisky,70cl / 43%,4
8,Yoichi Single Malt,Japanese Single Malt Whisky,70cl / 45%,4.5
9,"Ichiro's Malt Double Distilleries
(46.5%)",Japanese Blended Malt Whisky,70cl / 46.5%,4.5
10,Miyagikyo Single Malt,Japanese Single Malt Whisky,70cl / 45%,4.5
11,Hakushu 12 Year Old,Japanese Single Malt Whisky,70cl / 43%,4.5
12,Hakushu 18 Year Old,Japanese Single Malt Whisky,70cl / 43%,4.5
13,Ichiro's Malt Wine Wood Reserve,Japanese Blended Malt Whisky,70cl / 46.5%,5
14,Kaiyo Mizunara Oak,Japanese Blended Malt Whisky,70cl / 43%,5
15,Suntory Hibiki 12 Year Old,Japanese Blended Whisky,70cl / 43%,5
16,Suntory Torys Classic,Japanese Blended Whisky,70cl / 37%,3.5
17,"Akashi 5 Year Old
Sherry Cask Half Litre",Japanese Single Malt Whisky,50cl / 50%,5
18,"Karuizawa Spirit of Asama
 48%",Japanese Single Malt Whisky,70cl / 48%,No reviews.
19,Hakushu 10 Year Old,Japanese Single Malt Whisky,70cl / 40.5%,5
20,"Hanyu 2000 Final Vintage
15 Year Old Ichiro's Malt",Japanese Single Malt Whisky,70cl / 46.5%,No reviews.
21,Yoichi 10 Year Old,Japanese Single Malt Whisky,70cl / 45%,4.5
22,"Chichibu 2009
10 Year Old Artist International 10th Anniversary",Japanese Single Malt Whisky,70cl / 56.5%,No reviews.
23,"Yamazaki Mizunara
Bot.2011",Japanese Single Malt Whisky,70cl / 48%,No reviews.
